TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-126375,,Shortcut menu items 'jump' slightly when selecting them,CEF,Application Development Environment,Client Development Environment,,"**Issue Description:**
Shortcut menu items appear to 'jump' when selecting them from the drop-down expansion.

**User Interface Impact:** No

**Steps to Reproduce:**
 # Log in as a caseworker.
 # Navigate to the Cases and Outcomes tab.
 # Select a parent shortcuts menu item.
 # Issue: After selecting the shortcuts menu item, the selected item is padded causing it to jump 4 pixels.

**Resolution:**
This issue is now resolved and the selected items no longer appear to 'jump' 4 pixels on selection. 
"
SPM-126282,DT036595,The SPM application logs excessive path resolver errors,CEF,Application Development Environment,Core Development Infrastructure,,"**Issue Description**
When opening a second tab in a web browser, the SPM application logs excessive path resolver errors. This occurs when the application is deployed on a WebSphere application server.

**User Interface Impact:** No

**Steps to Reproduce:**
 # Open a new tab in the browser (CTRL+T).
 # Enter the URL for SPM in the address bar, then press enter.
 # Log in.
 # Open a second tab (CTRL+T).
 # Enter the URL for SPM in the address bar, then press enter.
 # Log in again.
 # Return to the first tab.
 # Navigate to the 'HCR Cases and Outcomes' section.
 # From the section shortcut panel, select 'Searches' then 'Case...'.
 # Issue: Observe multiple '-117507' errors in the WebSphere server logs. Every page navigated to in the application in the first tab after this series of steps logs a stack trace for a '-117507' exception though there is no exception shown on the screen to the end user.

**Resolution:**
When the user opens the second tab and enters the URL for SPM and presses enter, they will be brought to the application home page and will not be prompted to log in again. This behavior will ensure that the excessive number of '-117507' errors which were previously appearing in the WebSphere server logs will no longer do so. 
"
SPM-126281,DT036599,"Vertical scrollbar disappears after resizing the browser ",CEF,Application Development Environment,Client Development Environment,,"**Issue Description:**
On resizing the browser window or when zooming in or out, the vertical scrollbar is not redisplayed after it is hidden.

**User Interface Impact:** No

**Steps to Reproduce:**
 # Log in as a caseworker.
 # Navigate to the Inbox.
 # Reduce the browser window size so that a vertical scrollbar displays on the screen.
 # Increase the browser window size so that the vertical scrollbar is hidden.
 # Issue: Reduce the browser window again and the vertical scrollbar is not displayed as expected.

**Resolution:**
On resizing the browser window, the vertical scrollbar is redisplayed.
"
SPM-126205,,Author field not being populated for subsequent modifications of incident contact logs,ENT,Provider Management,,,"**Issue Description:**
When a provider incident contact log has been modified more than once, the author field displays as blank.

**User Interface Impact:** No

**Steps to Reproduce:**
 # Log in as a Resource Manager.
 # Click My Providers and select any provider from the list.
 # Navigate to incidents and add an incident with any default details.
 # Create a contact log and save.
 # Modify the contact log by appending some text to the narrative and save.
 # Modify the contact log again.
 # Issue: The author field on the edit contact log modal is blank on any subsequent modification after the first one.

**Resolution:**
The author field now displays as expected. 

**Technical:**
An incorrect parameter was being passed to the modify operation from the UIM page for the author field causing subsequent modifications to be blank."
SPM-126201,,Screen reader does not announce the date selected when using arrow keys to navigate,CEF,Application Development Environment,Client Development Environment,,"**Issue Description:**
When navigating between different dates (on the Person Search, for example) using the arrow keys, the screen reader is not announcing the dates.

**User Interface Impact:** No

**Steps to Reproduce:**
# Enable a screen reader.
# Log in as a caseworker.
# Select Person under Searches in the shortcuts panel.
# Use the arrow keys to navigate to the Date of Birth field.
# Issue: The screen reader is not announcing the date.

**Resolution:**
A screen reader now announces the dates selected when using the arrow keys to navigate.
"
SPM-126123,DT036583,Tables with expandable list rows not providing information to screen readers,Accessibility,,,,"**Issue Description:**
When a supported screen reader is used and a user navigates to a table with expandable list rows, table header HTML elements can be present but not provide any information to the user.

**User Interface Impact:** No

**Steps to Reproduce:**
# Enable a screen reader.
# Log in as a caseworker.
# Search for a person.
# Navigate to the Search Results table using the Tab key, then navigate through the tables headers using the up and down arrow keys.
# Issue: The first and last table headers do not provide any information to the screen reader.

**Resolution:**
A supported screen reader now describes the table headers. The issue was resolved by removing the aria-hidden attributes from table headers that were not providing any information via a supported screen reader.
"
SPM-126084,DT036581,The Skip to Main Content link is not accessible by keyboard,Accessibility,,,,"**Issue Description:**
The 'Skip to Main Content' link in the Application banner is not selected when you navigate with the Tab key.

**User Interface Impact:** No

**Steps to Reproduce:**
 # Log in as a caseworker.
 # Use the Tab key to navigate through the UI elements in the Application banner.
 # Issue: The 'Skip to Main Content' link does not receive the cursor focus.

**Resolution:**
When you navigate through the Application banner with the Tab key, the 'Skip to Main Content' link is now selected.
"
SPM-126080,,Update the versions of the Jackson JARs to the latest version - 2.14.0,Third Party Updates,,,,"The Jackson API contains multiple functions to read and build JSON using Java. It has data binding capabilities and provides a framework to serialize custom Java objects to JSON strings and deserialize JSON strings back into Java objects. The Java Development Environment (JDE) and the REST infrastructure utilizes these utilities.

The versions of these JARs have now been updated from 2.13.2 and 2.13.2.2 to 2.14.0. As a result of this upgrade, the following changes have been made in the JDE and REST deliverable.
 * CuramSDEJlibthird_party_version.properties - the versions of the specified Jackson JARs have been updated.

 * CuramSDEJlibjackson-annotations-2.14.0.jar - version of the JAR updated.
 * CuramSDEJlibjackson-core-2.14.0.jar - version of the JAR updated.
 * CuramSDEJlibjackson-databind-2.14.0.jar - version of the JAR updated.

 * CuramCDEJlibextjarjackson-annotations-2.14.0.jar - version of the JAR updated.
 * CuramCDEJlibextjarjackson-core-2.14.0.jar - version of the JAR updated.
 * CuramCDEJlibextjarjackson-databind-2.14.0.jar - version of the JAR updated.

 * EJBServercomponentsRestrestlibdependencyLibsExtjackson-annotations-2.14.0.jar - version of the JAR updated.
 * EJBServercomponentsRestrestlibdependencyLibsExtjackson-core-2.14.0.jar - version of the JAR updated.
 * EJBServercomponentsRestrestlibdependencyLibsExtjackson-databind-2.14.0.jar - version of the JAR updated.

 * EJBServercomponentsRestrestlibdependencyLibsCorejackson-jaxrs-base-2.14.0.jar - version of the JAR updated.
 * EJBServercomponentsRestrestlibdependencyLibsCorejackson-jaxrs-json-provider-2.14.0.jar - version of the JAR updated.
 * EJBServercomponentsRestrestlibdependencyLibsCorejackson-module-jaxb-annotations-2.14.0.jar - version of the JAR updated.
 
 * EJBServercomponentsRestgraphql_libjackson-dataformat-yaml-2.14.0.jar - version of the JAR updated.

 * EJBServercomponentsRestgraphql_libjackson-datatype-jdk8-2.14.0.jar - version of the JAR updated.

Note that any references in custom scripts and other artifacts to the updated JAR files listed above must be updated. 
"
SPM-126047,DT036616,Unable to edit just the day or month of a date using the keyboard,Look and Feel,,,,"**Issue Description:**
On a date field, a user should be able to edit an already entered date. However, editing a date is not possible. The cursor jumps to the end of the date and adds the new numbers at the end of the field.

**User Interface Impact:** No

**Steps to reproduce:**
 # Log in as a caseworker.
 # Open the Person Search page.
 # Enter a date in the Date of Birth field (for example, 10/16/1984 for a MM/DD/YYYY format).
 # Press the Tab key to go to the next field or use the mouse to click on another field.
 # Go back to the Date of Birth field. 
 # Keep the cursor within the date (for example 16) and press the Backspace key until all data is deleted.
 # Now start typing a new day value to replace the 16.
 # Issue: As soon as the user starts typing the first character in the date, the cursor jumps to the end of the date (after the year) and it is not possible to enter the desired date.

**Resolution:**
After editing a deleted date in a date field, the cursor no longer jumps to the end of the field.
"
SPM-125925,,Support for CMIS 1.1 Browser binding,CEF,Technical Services,CMIS Adapter,,"The Content Management Interoperability Services (CMIS) specification describes how clients and repositories communicate with each other and how the domain model is mapped to the raw data that is transferred. These modes of communication and the model-to-data mappings are called bindings.

The CMIS 1.0 specification defined two bindings, the Web Services binding, and the AtomPub binding; and the CMIS 1.1 specification added a third, the Browser binding.  For more information about the CMIS Binding types, see {{https://freecontent.manning.com/wp-content/uploads/the-browser-binding-with-a-cmis-repository.pdf}}.

Previously, a system administrator could configure a target system service of type 'Content Management Interoperability Service over Atompub'. That is, previously customers could choose one configuration:
 * CMIS 1.0 and Atompub binding
where the CMIS specification is configured on your CMS.

An additional target system service of type 'Content Management Interoperability Service over Browser Binding' has been added. Typically, the service extension URL differs between the bindings and the CMIS specifications. If you are using CMIS 1.1 and your repository supports the improved Browser binding, you can now use it. Changing to the Browser binding has no effect on the user as the behavior is the same.

The following validation message has been introduced to prevent a system administrator from configuring more than one active CMIS target system service: 'A target system service already exists for the Content Management Interoperability Service.'

Customers can choose one of three configurations:
 * CMIS 1.1 and Browser binding (recommended)
 * CMIS 1.1 and Atompub binding
 * CMIS 1.0 and Atompub binding (may be deprecated in the near future)
where the CMIS specification is configured on your CMS.

Note: Browser binding is not supported on a CMS using the CMIS 1.0 specification.
"
SPM-125917,DT036336," Incorrect date on evidence timeline on Incoming evidence screen for evidence types with no business start date",ENT,Evidence Broker,,,"**Issue Description:**
When evidence that has no business start date is shared to the Incoming Evidence page, the start date of the case to which the evidence is being shared is displayed by default as the start date of the evidence. Currently, when evidence without a business start date is shared to an application case, the incoming evidence timeline incorrectly displays 01/01/0001 for the start date of the evidence instead of defaulting to the case start date.

**User Interface Impact:** No

**Prerequisite(s):**
Evidence sharing should be configured for Person Case to Application Case for Contact Preferences evidence with Trusted Source set to No.

**Steps to Reproduce:**
 # Log in as an Insurance Affordability caseworker.
 # Register a person.
 # Add Contact Preferences evidence.
 # Create an application case.
 # Navigate to the incoming evidence list page on the application case.
 # Expand the row for Contact Preferences.
 # Issue: The timeline displays 01/01/0001 as a start date for the evidence.

**Resolution:**
A date that represents the start date of the application case is now displayed by default.

**Technical:**
Application cases do not populate a start date on the Case Header entity; instead, they use a registration date field. The logic on the incoming evidence page has now been updated to retrieve and display the registration date of the application case when shared evidence has no business start date. 
"
SPM-125894,,CER Expression statistics,CEF,Integrated Case Management,Eligibility & Entitlement,,"**Issue Description:**
The JMX statistics do not include information about CER calculations which makes it difficult to identify potentially poorly performing rules.

**User Interface Impact:** No

**Steps to Reproduce:**
 # Create an Unemployment Benefit case.
 # Approve and activate the case.
 # Download the JMX data from the server.
 # Issue: The JMX data will include information about the BPO calls, and SQL queries for the case reassessment, but no information about the individual rule calculations performed during the reassessment.

**Resolution:**
The JMX data now includes counts and timings for the number of reads, writes, recalculations and errors for each CER attribute. 
"
SPM-125865,DT036326,A meaningful heading is not provided for screen reader users on the Case Search page,Accessibility,,,,"**Issue Description:**
The text in the page title bar on the Case Search page appears like a heading, but an HTML heading element is not used for this text. This causes the heading structure to appear incorrectly for screen reader users. The same text also appears twice on the page, which does not add value to the user.

**User Interface Impact:** No

**Steps to Reproduce:**
 # Log in as a caseworker.
 # Navigate to the Cases and Outcomes section.
 # Select Case Search from the shortcuts panel.
 # Use the browser developer tools to inspect the HTML used for rendering the text in the page title bar.
 # Issue: The text in the page title bar appears as a heading but an HTML heading element is not used to render it. The text also appears twice on the page.

**Resolution:**
The duplicated text has now been removed from the Case Search page and the text in the page title bar is now constructed using an HTML heading element.
"
SPM-125842,DT036324,Evidence approval task is not displayed in the case task list page,CEF,Business Services,Task Management,,"**Issue Description:**
When evidence is created within a case that requires approval and an evidence approval task is created, the task is not listed in the Task list page within the case and the task does not include a link to the associated case under the Supporting Information cluster. 

**User Interface Impact:** No

**Prerequisite(s):**
# Log in as an administrator.
# Create a new integrated case with a single piece of evidence configured against it, Email Addresses, for example.
# Update the Approval Checks for an Organization Unit that a caseworker holds a position within by adding the chosen evidence type in the previous step. Set the percentage value as 100 and save.

**Steps to Reproduce:**
# Log in as a caseworker.
# Register a Person and create the new integrated case.
# From the integrated case home page navigate to the Evidence tab and create the new Evidence.
# Apply Changes and observe an informational message is displayed stating that manual approval is required.
# Issue 1: On the task home page, there is no link in the Supporting Information cluster to navigate to the associated case home page.
# Issue 2: The task is not listed in the task list page under the Task tab within the case.

**Resolution:**
This issue has been resolved. Version 4 of the Evidence Approval Workflow has been released. This new version contains the link to the associated integrated case home page in the Supporting Information cluster and the task is displayed in the task list page within the integrated case task tab.
"
SPM-125840,DT036320,No label for Subject field in Quick Notes,Accessibility,,,,"**Issue Description:**
Screen readers required standard label formatting on all forms so that field names can be announced. The input element in Quick Notes does not have a proper label on the Subject field which causes the field labels to work incorrectly for screen reader users.

**User Interface Impact:** Yes

**Steps to Reproduce:**
 # Log in as a caseworker.
 # Register a new person.
 # On the new person page, click on the smart panel.
 # Issue: The top input field which is used to capture a subject within the Quick Notes section does not have a field label.

**Resolution:**
For Quick Notes, modifications have been made to the renderer class to display the label element 'Subject' and appropriate help text. 
"
SPM-125791,,Update the version of the Jsoup library to the latest available version,Third Party Updates,,,,"Jsoup is a Java library that is used to work with HTML. It provides an API for fetching URLs and extracting and manipulating data using HTML5 DOM methods and CSS selectors. 

The version of the Jsoup JAR that is used by SPM has now been updated from 1.14.2 to 1.15.3. This new JAR file contains some minor bug fixes and enhancements.

As a result of this upgrade, the following changes have been made in the Java Development Environment deliverable.
 * CuramSDEJlibthird_party_version.properties - the specified Jsoup JAR file version has been updated.
 * CuramSDEJlibjsoup-1.15.3.jar - the version of the JAR has been updated.
 * CuramCDEJlibextjarjsoup-1.15.3.jar - the version of the JAR has been updated.

Note that any references in custom scripts and other artifacts must be updated to point to the new version of the JAR file as specified above.
"
SPM-125756,DT036317,Incorrect attribute present in HTML tags makes table navigation more difficult for screen readers,Accessibility,,,,"**Issue Description:**
On the search results table when a user right clicks  on a search result and selects to inspect  the element, the 'scope=row' attribute is incorrectly present on HTML '<td>' tags which makes navigation more difficult and less efficient for screen readers.

**User Interface Impact:** No

**Steps to Reproduce:**
# Log in as a caseworker.
# Navigate to the Person Search page.
# Perform a search that will return a number of records.
# Right-click on any of the returned records and select Inspect from the browser pop-up menu.
# Review the HTML for the associated '<td>' tag.
# Issue: A 'scope=row' attribute is present on the HTML '<td>' tag.

**Resolution:**
This issue has been resolved and now HTML '<td>' tags do not contain the 'scope=row' attribute. This makes table navigation easier when using a screen reader. 
"
SPM-125738,DT036309,Error displays when creating dynamic evidence where the relatedParticipant attribute is named 'caseParticipantRoleID',CEF,Dynamic Evidence,,,"**Issue Description:**
When the multi-participant operations feature is enabled for a Dynamic Evidence type, if that evidence type's metadata file defines a 'RelatedCPAttribute' element whose 'name' attribute is set to 'caseParticipantRoleID', then creating an instance of that evidence type produces an un-handled server exception.

**User Interface Impact:** No

**Prerequisite(s):**
# There needs to be a Dynamic Evidence type defined which has the attribute 'enableMultiMemberUpdates' set to 'true' in the RelCPCluster element.
# The Dynamic Evidence type definition also needs to have the 'relatedParticipant' attribute set to 'caseParticipantRoleID' and the 'name' attribute of the RelatedCPAttribute element should also be 'caseParticipantRoleID'.

**Steps to Reproduce:**
# Log in as an Insurance Affordability caseworker.
# Complete an application to create an application case.
# Navigate to the application case created.
# Create a new evidence item of the Dynamic Evidence type defined in the prerequisites.
# Populate the required fields and submit the evidence.
# Issue: An Unhandled Server Exception displays.

**Resolution:**
Evidence using the Dynamic Evidence type is now created without exception. 

**Technical:**
The exception was caused by a problem parsing the evidence details because of the same attribute name on the relatedParticipant and the RelatedCPAttribute. This issue has been fixed by parsing the evidence details using XML instead of string regular expressions.  
"
SPM-125731," DT036312",When executing Intelligent Evidence Gathering (IEG) scripts the screen reader does not ignore HTML tags,Accessibility,,,,"**Issue Description:**
When executing Intelligent Evidence Gathering (IEG) scripts with HTML tags, a screen reader announces the tags.

**User Interface Impact:** No

**Prerequisite(s):**
 # Update the question text of an IEG script to include HTML tags, for example, Bold ?<B>?, or List ?<li>? tags.

**Steps to Reproduce:**
 # Enable a screen reader.
 # Navigate to the modified IEG script.
 # Issue: The screen reader reads the markup text.

**Resolution:**
The screen reader no longer reads the HTML tags. The issue has been resolved by removing the HTML tags from the titles.
"
SPM-125708,DT036331,After a second incorrect date is entered the validation message displays an incorrect date,CEF,Application Development Environment,Client Development Environment,Widgets,"**Issue Description:**
When an incorrect date is entered in the date field, a validation error message is displayed. This message contains the date that the user entered. This is an expected behaviour. When a second incorrect date is entered, a validation error message displays the second incorrect date, however, the date field displays a different date. This can be confusing to the user.

**User Interface Impact:** No

**Steps to Reproduce:**
 # Login as caseworker.
 # Open Register Person and click Next to move to the main Register Person page.
 # Enter all mandatory data and enter incorrect data in Date of Birth field for example 02/30/1980.
 # Click Save.
 # As expected, an error message displays that the date of birth is not valid and displays the date you entered in step 3. This same date displays in the Date of Birth field.
 # Change the date to some other incorrect date for example 05/35/1985.
 # Click Save.
 # Issue: As expected, an error message displays that the date of birth is not valid and displays the date you entered in step 6. However, a different date displays in the Date of Birth field.

**Resolution:**
When a second incorrect date is entered, the validation error message and the Date of Birth field both contain the same information."
SPM-125704,,The comments area of the New Agreement modal on an outcome plan is lacking context when a screen reader is used,Accessibility,,,,"**Issue Description:**
The Comments field displayed in the New Agreement modal on an outcome plan is missing context when the screen reader is used.

**User Interface Impact:** No

**Steps to Reproduce:**
# Log in as a Child Services caseworker.
# Register a person.
# Click the Care and Protection tab and select Cases.
# Use the New page action to create an Ongoing Case.
# Click the Outcome Plan tab and select the New page action.
# Enable a screen reader.
# Create an outcome plan
# Select New Agreement from the actions menu; a pop-up modal will appear.
# Navigate to the Comments section of the modal.
# Issue: The description for the field is not announced by the screen reader. 

**Resolution:**
The screen reader now provides context to the user once the user navigates to the Comments field on the New Agreement modal.
"
SPM-125687,DT036279,Date picker converts input to incorrect dates,CEF,,,,"**Issue Description:**
If a caseworker manually enters a date in an incorrect format, the date entered gets automatically converted to a date in the correct format and may result in an incorrect date getting entered.

**User Interface Impact:** No

**Steps to Reproduce:**
# Log in as a caseworker.
# Select Person under Registration in the shortcuts panel.
# Click Next.
# Enter an incorrect date in the Register Person modal, for example 1.2 in the Date Of Birth date picker.
# Issue: The input is changed to 01.02.2022 and there is no format validation. 

**Resolution:**
When a date is now entered in an incorrect format, a validation message is displayed to the user. 
"
SPM-125663,,Open Enrollment Period configuration not available for the year 2023,SOL,Income Support HCR,,,"**Issue Description:**
No open enrollment period configuration for 2021 for Insurance Affordability is available.

**User Interface Impact: **No

**Steps to Reproduce:**
# Log in as an administrator.
# Navigate to Open Enrollment Period under Health Care Reform in the shortcuts panel.
# Issue: No open enrollment period for 2021 is configured.

**Resolution:**
A new open enrollment period configuration is now available. The configuration is: Start Date 11/1/2020, End Date 12/15/2020, Coverage Start Date 1/1/2021, and Coverage End Date 12/31/2021.
"
SPM-125593,DT036308,"Validation message not displayed when overlapping Alien evidence added with different Alien types ",SOL,Common Evidence,,,"**Issue Description:**
Alien evidence records citizenship details for a household member. A caseworker should not be able to create multiple Alien evidence records for a household member that overlap within the same period of time. Currently, a validation exists when overlapping Alien evidence is added for the same Alien type however there is no validation when overlapping Alien evidence is added for different Alien types. 

**User Interface Impact:** No

**Steps to Reproduce:**
# Log in as an Income Support caseworker.
# Register a new Person.
# Create a new Income Support integrated case.
# Click on the Evidence tab and select Dashboard.
# Add new Alien evidence with details:
   ** Alien Status: Asylee
   ** Date of Entry: 01/01/2022
# Apply the evidence changes.
# Update the Alien evidence and set the end date to 7/31/2022.
# Apply the evidence changes.
# Add new Alien evidence with details:
   ** Alien Status: Conditional Entrant
   ** Date of Entry: 01/01/2022
# Apply the evidence changes.
# Issue: No validation is displayed.

**Resolution:**
This issue has been resolved. Now when overlapping Alien evidence with different Alien types are added, the following informational message is displayed alerting the caseworker that an Alien record already exists 'Alien - An Alien record already exists for this household member.'.

On apply changes, the validation 'Alien - An Alien record already exists for this household member.' is displayed which prevents the caseworker from activating the overlapping evidence.
"
SPM-125584,"DT036298 ",The date value is invalid when the dateFormat is set to 'TT MM JJJJ',CEF,Application Development Environment,Client Development Environment,Widgets,"**Issue Description:**
When the 'dateFormat' build time property in ApplicationConfiguration.properties is set to 'TT MM JJJJ' for German language implementations and the date picker is used, the date selection is invalid.

**User Interface Impact:** No

**Prerequisite(s):**
 # The 'dateFormat' build time property in ApplicationConfiguration.properties is set to 'TT MM JJJJ'.

**Steps to Reproduce:**
 # Log in as a caseworker.
 # Open the Register Person modal.
 # Enter a Date of Birth using the date picker.
 # Issue: The date displayed is not the date entered and is invalid.

**Resolution:**
The date value selected by the date picker widget is a valid value when German is used. 
"
SPM-125506,DT036291,Application case authorization comments do not allow special characters,CEF,Common Intake,,,"**Issue Description:**
When an application is authorized using the Authorise Program modal comments can be entered. If the comments that are entered include special characters, when the comments are viewed within the application case after authorization, the special characters that were included in the comments are not properly displayed.

**User Interface Impact:** No

**Steps to Reproduce:**
 # Log in as an Insurance Affordability caseworker.
 # Register a new Person.
 # From the tab action menu, select New Application to start an application.
 # Complete and submit the application.
 # Authorize the application by adding comments with special characters.
 # Under the Programs tab expand the Insurance Affordability program and select to view Authorisations.
 # Issue: Special characters added in the comments are not properly displayed.

**Resolution:**
Special characters included in comments added during the authorization process are now displayed. 

**Technical:**
The issue was resolved by updating logic in the ProgramAuthorisationDataImpl class.
"
SPM-125322,,CMIS 1.1 support via Apache Chemistry 0.9.0,CEF,Technical Services,CMIS Adapter,,"Merative Social Program Management uses the Content Management Interoperability Services (CMIS) standard to integrate with Content Management Systems.

The version of Apache Chemistry used for this integration has been upgraded from 0.7.0 to 0.9.0 to support the CMIS 1.1 specification and the Browser Binding. As a result of these updates, the following changes have been made in the CMISInfrastructure server component.
 * CMISInfrastructure/lib/chemistry-opencmis-client-api-0.9.0.jar - version updated from 0.7.0 to 0.9.0.
 * CMISInfrastructure/lib/chemistry-opencmis-client-bindings-0.9.0.jar - version updated from 0.7.0 to 0.9.0.
 * CMISInfrastructure/lib/chemistry-opencmis-client-impl-0.9.0.jar - version updated from 0.7.0 to 0.9.0.
 * CMISInfrastructure/lib/chemistry-opencmis-commons-api-0.9.0.jar - version updated from 0.7.0 to 0.9.0.
 * CMISInfrastructure/lib/chemistry-opencmis-commons-impl-0.9.0.jar - version updated from 0.7.0 to 0.9.0.

Note that any references in custom scripts and other artefacts to the updated JAR files listed above must be updated.
"
