TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-128039,,Introduce support for JAWS 2023 and Microsoft Edge,Third Party Updates,,,,The version of Freedom Scientific JAWS that is used by the application is now updated to JAWS 2023. The new version is certified against Microsoft Edge. 
SPM-128033,,Updates to the versions of MS Word supported for the Microsoft Word Integration feature,Third Party Updates,,,,"The following changes have been made to the Microsoft Word version support for the Microsoft Word Integration feature in SPM.
 * Support for Microsoft Word 2013 and future fix packs has been dropped. Official support for this version of MS Word has been dropped by Microsoft.
 * Support for Microsoft Word 2016 and future fix packs has been dropped. Official support for this version of MS Word has been dropped by Microsoft.
 * Support for Microsoft Word 2021 and future fix packs has been added.

This means that the Microsoft Word versions supported for SPM 8.1.0.0 are as follows:
 * 2019 and future fix packs.
 * 2021 and future fix packs.
"
SPM-128027,,Remove support for all editions of Db2 Version 11.1.0,Third Party Updates,,,,"Support for all editions of Db2 11.1 (Advanced Enterprise Server Edition, Enterprise Server Edition, and Workgroup Server Edition) is removed.  

The supported prerequisites for SPM 8.1.0 are updated to reflect this. See [link|https://curam-spm-devops.github.io/wh-support-docs/spm/prerequisites/810]. 
"
SPM-128025,,Remove support for Oracle WebLogic Server 12cR2 (12.2),Third Party Updates,,,,"Support for the Oracle WebLogic Server 12cR2 (12.2.1 and future patches) is removed.

This means that the supported Oracle WebLogic Server version for the 8.1.0.0 release of SPM is as follows:
 * Oracle WebLogic Server 14c (14.1.1.0.0 and future patches)

The supported prerequisites for SPM 8.1.0 are updated to reflect this. See [link|https://curam-spm-devops.github.io/wh-support-docs/spm/prerequisites/810]. 
"
SPM-127973,,Remove the IBM SLM Tag Generation feature from the Social Program Management (SPM) deliverable,Code Removal,,,,"The code artifacts associated with the Software License Metric (SLM) Tag generation feature have now been removed. All of the references to this feature in the SPM documentation have also been removed.

For more information about the artifacts that are removed and modified as part of the code removal process, see the //Merative Social Program Management 8.1.0.0 Code Removals// PDF document that is attached to these release notes.

[Merative SPM Code Removals 8.1.0.0|https://curam-spm-devops.github.io/wh-support-docs/pdf/releasenotes/SPM_CodeRemovals_810.pdf]
"
SPM-127970,,Update to certified version of Apple VoiceOver,Third Party Updates,,,,"The certified version of Apple VoiceOver is now updated to iOS 15.7. This is certified against Chrome 114. 
"
SPM-127969,,Update browser plug-in Java? Runtime Environment (JRE) level used in Microsoft Word Integration,Third Party Updates,,,,"The following JRE level for Microsoft Word Integration is supported for this release:
* JRE 1.8 u371
"
SPM-127968,,Updates to supported browser versions,Third Party Updates,,,,"The following browser versions are now updated and certified for this release.

Caseworker Application Browser Support
 * Google Chrome is updated to 114
 * Microsoft Edge is updated to 114

Universal Access Application Browser Support
 * Google Chrome is updated to 114
 * Microsoft Edge is updated to 114
 * Mozilla Firefox is updated to 114
"
SPM-127964,DT036662,Items within conditional list questions sometimes display incorrectly when there are multiple lists on a single page of an IEG script,ENT,Intelligent Evidence Gathering,,,"**Issue Description:**

When different criteria are controlling the display of items within list questions on a single page of an IEG script, the first defined criteria are being used for all the list questions on the page. As a result, some items are displaying incorrectly.

**User Interface Impact:** No

**Steps to Reproduce:**
 # Use an IEG script with a page that contains multiple list questions with different display criteria for each list question.
 # Launch the IEG script and complete the script to the page that contains the list questions.
# Issue: The items that match the first-defined criteria are displayed for all list questions.

**Resolution:**
Now, when different criteria are controlling the display of items within list questions on a single page of an IEG script the correct items are displayed based on the defined criteria.
"
SPM-127935,,Updates to the names of some of the JAR files delivered as part of the CuramCDEJ deliverable,Third Party Updates,,,,"The names of the JAR files delivered as part of the CDEJ were previously inconsistent in that some of the names contained the JAR file version in the name and others did not. The names of some of the JAR files in the CDEJ deliverable have been updated to now include the version number. The versions of these JAR files have not changed as a result of this exercise.
 
The following is the list of JAR file names which have been updated in the 'CuramCDEJlibextjar' directory.
 * ant-contrib-1.0b2.jar
 * antlr-3.3.jar
 * commons-beanutils-1.9.4.jar
 * commons-collections-3.2.2.jar
 * commons-collections4-4.1.jar
 * commons-logging-1.2.jar
 * commons-validator-1.6.jar
 * derby-10.12.1.1.jar
 * dom4j-2.1.3.jar
 * htmlcleaner-2.1.jar
 * taglibs-standard-impl-1.2.5.jar
 * taglibs-standard-spec-1.2.5.jar

It should be noted that any references in custom scripts and other artifacts to the specified JAR files above should be updated to point to the newly named JAR files.
"
SPM-127933,,Update the version of the Javassist JAR file delivered in the Rest Toolkit,Third Party Updates,,,,"The Javassist (Java Programming Assistant) library enables Java bytecode manipulation. It is a class library for editing bytecodes in Java. The JAR is used in the REST infrastructure as part of the Jersey Web Service Framework.

The version of the Javassist JAR file delivered in the Rest Toolkit has been updated from 3.18.1-GA to 3.22.0-GA. The new version contains some minor bug fixes and enhancements. 

As a result of this upgrade, the following changes have been made in the Rest Toolkit deliverable.
 * EJBServercomponentsRestrestlibdependencyLibsCorejavassist-3.22.0-GA.jar - the version of the specified JAR has been updated.

It should be noted that any references in custom scripts and other artifacts to the specified JAR should be updated to point to the new version of the JAR file.
"
SPM-127929,,Update the version of the snakeyaml library to 2.0,Third Party Updates,,,,"The snakeyaml library provides functionality to parse a YAML file, and convert to Jackson objects.  

The version of the snakeyaml JAR that is used by SPM has now been updated from 1.33 to 2.0. This new JAR file contains some minor bug fixes and enhancements.

As a result of this upgrade, the following changes have been made in the Java Development Environment and Rest deliverables.
 * CuramSDEJlibthird_party_version.properties - the version of the specified snakeyaml JAR file has been updated.
 * EJBServercomponentsRestgraphql_libsnakeyaml-2.0.jar - the version of the JAR has been updated.

Note that any references in custom scripts and other artifacts must be updated to point to the new version of the JAR file as specified above.
"
SPM-127917,,Remove the duplicate jacob.jar file from the Social Program Management (SPM) deliverable,Third Party Updates,,,,"JACOB is a Java library that allows Java applications to communicate with Microsoft Windows DLLs or COM libraries. It is used by the Merative Social Program Management (SPM) Microsoft Word Integration solution which is Native Messaging based, and supported by the Google Chrome and Microsoft Edge based on Chromium browsers only.

In the previous SPM releases, there were two Jacob JAR files present in the JDE deliverable. These were located in the following locations:
 * CuramCDEJlibextjarjacob.jar
 * CuramCDEJlibextjarjacob-1.20.jar

The JAR files were the same so the 'CuramCDEJlibextjarjacob.jar' file has been removed in this release.

It should be noted that any references in custom scripts and other artifacts to the JAR file that has been removed should be updated to point to the  remaining Jacob JAR file. 
"
SPM-127858,,Change in ownership of SPM Product,CEF,Application Development Environment,,,"Ownership of the Social Program Management product transferred from IBM to Merative. 
Legal Notices in source code, documentation and license information have been updated accordingly.
"
SPM-127783,,Application todo list layout is incorrect,Look and Feel,,,,"**Issue Description:**
Application Todo List items are displayed without a space between them and the icons are not vertically aligned.

**User Interface Impact:**  No

**Steps to Reproduce:** 
 # Log in as a caseworker.
 # Register a person.
 # Submit a new application.
 # Open the application case.
 # Issue: Application Todo List items are displayed without a space between them and the icons were not vertically aligned

**Resolution:**
Application Todo List items are now evenly spread out and the icons are vertically aligned.
"
SPM-127726,,Background color is incorrect on hover or focus for buttons in a cluster,Look and Feel,,,,"**Issue Description:**
The hover and focus styling is incorrect for buttons within a cluster. The background colour of buttons in the hover and focus states does not match the border colour.

**User Interface Impact:** No

**Steps to Reproduce:**
 # Log in as a caseworker
 # Open the Register Person modal dialog
 # Hover over the Search button
 # Issue: the background colour of the button is different to the button border.

**Resolution:**
The background colour of action buttons within modal dialogs now matches their border colour in the hover and focus states.
"
SPM-127515,,Update the version of the xercesImpl JAR file to the latest version - 2.12.2,Third Party Updates,,,,"The xercesImpl library is used for parsing, validating and manipulating XML documents. 

The version of the xercesImpl JAR that is used by SPM has now been updated from 2.9.1 to 2.12.2. This new JAR file contains some minor bug fixes and enhancements. It also introduces a dependency on another JAR file, namely xml-apis.jar.

As a result of this upgrade, the following changes have been made in the Java Development Environment (JDE) deliverable.
 * CuramSDEJlibthird_party_version.properties - version of the specified xercesImpl JAR file has been updated and the version of the new xml-apis.jar file has been added. 
 * CuramCDEJlibextjarxercesImpl-2.12.2.jar - version of the JAR file has been updated.
 * CuramSDEJlibxercesImpl-2.12.2.jar -  version of the JAR file has been updated.
 * CuramSDEJxmlserverxercesImpl-2.12.2.jar -  version of the JAR file has been updated.
 * CuramCDEJlibextjarxml-apis-1.4.01-1.jar - new JAR file introduced.
 * CuramSDEJlibxml-apis-1.4.01-1.jar - new JAR file introduced.
 * CuramSDEJxmlserverxml-apis-1.4.01-1.jar - new JAR file introduced.

Note that any references in custom scripts and other artifacts must be updated to point to the updated and new JAR files as specified above.
"
SPM-127469,DT036676,Private address validation is not displayed when a household member and a private address do not exist for the entire period,SOL,Income Support,,,"**Issue Description:**
The validation message: 'Private type address(es) do not exist for entire period beginning <Date> for <Applicant Name>'. is not being displayed in Income Support when the evidence is being validated if the Addresses evidence does not exist for the entire Household Member evidence period.

**User Interface Impact:** No

**Steps to Reproduce:**
1. Log in as an Income Support caseworker.
2. Register a new Person. With registration date two months in past 
3. Create an Income Support application for the person with the same date two months in the past.
4. Submit the application.
5. On the application, Navigate to the Evidence tab.
6. On Addresses evidence, discard the address evidence so that no Addresses evidence exists.
7. Select 'Apply changes' from list action menu on Evidence dashboard.
8. Select all evidence and apply changes.
9. Issue: There is no validation message displayed for the type private address when the period covered by Addresses is shorter than the period covered by Household Member.
 
**Resolution:**
The validation message 'Private type address(es) do not exist for entire period beginning <Date> for <Applicant Name>' is displayed when Addresses private address record does not cover the entire Household Member period. Evidence end dates are compared as well as start dates. This message displays when the Addresses evidence does not exist or if the Addresses date period is less than the Household Member date period.
"
SPM-127370,,Update the versions of commons-fileupload to 1.5,Third Party Updates,,,,"The Apache Commons FileUpload API enables file upload capabilities in Java EE web applications. It is used in the SPM application for that purpose. It is also part of the SPM Axis 2 web services deliverable.

The version of the commons-fileupload JAR that is used by SPM has now been updated from 1.3.3 in the Axis 2 deliverable and 1.4 in the JDE deliverable to 1.5. This new JAR file contains some minor bug fixes and enhancements.

As a result of this upgrade, the following changes have been made in the Java Development Environment (JDE) and Axis 2 deliverables.
 * CuramSDEJlibthird_party_version.properties - the version of the specified commons-fileupload JAR file has been updated.
 * CuramCDEJlibextjarcommons-fileupload-1.5.jar - the version of the JAR has been updated.
 * CuramSDEJlibaxis2commons-fileupload-1.5.jar - the version of the JAR has been updated.

Note that any references in custom scripts and other artifacts must be updated to point to the new version of the JAR file as specified above.
"
SPM-127353,DT036673,Preferred indicator is not set on the Phone Number evidence when an Insurance Affordability application is submitted,CEF,Intake,,,"**Issue Description:**
When an Insurance Affordability application is submitted, the preferred indicator is not set on the Phone Number evidence during the intake.  When this attribute is not set to true and an update is made to the applicant's Contact Details, the phone number previously entered during the intake is  incorrectly displayed in the Alternative Phone Number field.

**User Interface Impact:**No

**Steps to Reproduce:**

**Scenario 1:**
 # Navigate to the Citizen Portal.
 # Apply for 'Apply for assistance with your Health Care'.
 # Create a new account and complete all the mandatory fields.
 # Navigate to the Applicant Details, Other Contact Information section.
 # Enter a Phone Number for the applicant (not an Alternative Phone Number).
 # Complete the rest of the application.
 # Log in to the caseworker application as caseworker.
 # Search for the citizen registered in the Citizen Portal.
 # From the Home Page, open the Insurance Affordability Application already created.
 # From the page action menu, 'Authorize' the application.
 # Log out from the caseworker application.
 # Log in to the Citizen Portal using the details for the account created above.
 # Navigate to Home and then select 'My Information' section.
 # Select 'Update my Information' at the top of the page. 
 # Select 'No' to the question 'Do you want to update any of the information listed?'.
 # The application is displayed.
 # Navigate to the 'You' section on the Summary page and select the 'Change' link.
 # Select 'Yes' to the question 'Do you wish to change your contact information?'.
 # Issue: The Phone Number previously entered is displayed in the Alternative Phone Number field.

**Scenario 2:**
 # Navigate to the Citizen Portal.
 # Apply for 'Apply for assistance with your Health Care'.
 # Create a new account and complete all the mandatory fields.
 # Navigate to the Applicant Details, Other Contact Information section.
 # Enter a Phone Number and an Alternative Phone Number for the applicant.
 # Complete the rest of the application.
 # Log in to the caseworker application as caseworker.
 # Search for the citizen registered in the Citizen Portal.
 # From the Home Page, open the Insurance Affordability Application already created.
 # From the page action menu, 'Authorize' the application.
 # Log out from the caseworker application.
 # Log in to the Citizen Portal using the details for the account created above.
 # Navigate to Home and then select 'My Information' section.
 # Select 'Update my Information' link at the top of the page. 
 # Select 'No' to the question 'Do you want to update any of the information listed?'.
 # The application is displayed.
 # Navigate to the 'You' section on the Summary page and select the 'Change' link.
 # Select 'Yes' to the question 'Do you wish to change your contact information?'.
 # Issue: The Phone Number is displayed in the Alternative Phone Number field, and the Alternative Phone Number is displayed on the Phone Number field.

**Resolution:**
This issue has been resolved. The phone number is displayed as expected in the Phone number field instead of the Alternate Phone number field. The preferred indicator is now set correctly on the Phone Number. "
SPM-127327,,Add evidence icon not actionable on the evidence dashboard when zoomed to 200%,CEF,Integrated Case Management,Evidence Management,,"**Issue Description:**
When viewed zoomed to 200%, the third column of the Evidence Dashboard is not fully shown and the Add '+' icon cannot be accessed.

**User Interface Impact:** Yes

**Steps to Reproduce:**
 # Login as a caseworker.
 # Register a person.
 # Create an integrated case for the person and navigate to the Evidence Tab and open the Dashboard page.
 #  Use the Browser Zoom feature and zoom to 200%.
 # Issue: The third column of the Evidence Dashboard is not fully shown and the Add '+ ' icon cannot  be accessed.

**Resolution:**
Evidence Dashboard columns reflow into a single column layout when the available space is limited."
SPM-127296,DT036669,"Running a saved task query can result in an error if more than 3 values are selected from the """"Assigned To"""" field. ",CEF,Integrated Case Management,,,"**Issue Description:**
An error occurs when the user runs saved task queries containing more than three selected values from the ?Assigned To? field on the New Task Query page.

**User Interface Impact:** No

**Steps to Reproduce:**
 # Log in as a caseworker.
 # Open the Inbox tab.
 # Navigate to 'New Task Query' in the Shortcuts panel.
 # The ?New Task Query? page displays. Enter a query name and select all checkboxes in the ?Assigned To? field and save.
 # Navigate to 'My Task Queries' in the Shortcuts panel and run the query just created.
 # Issue: An Unhandled Server exception is displayed.

**Resolution:**
The execution of the saved query has been fixed to run without error when multiple  ?Assigned To? checkboxes are selected when creating the query."
SPM-127249,,Update the versions of the Jackson JARs to 2.15.0,Third Party Updates,,,,"The Jackson API contains multiple functions to read and build JSON using Java. It has powerful data binding capabilities and provides a framework to serialize custom Java objects to JSON strings and deserialize JSON strings back into Java objects. The Java Development Environment (JDE) and the REST infrastructure use these utilities.

The versions of these JARs have now been updated to a later version. As a result of this upgrade, the following changes have been made in the JDE and REST deliverables.
 * CuramSDEJlibthird_party_version.properties - the versions of the specified Jackson JARs have been updated.

 * CuramSDEJlibjackson-annotations-2.15.0.jar - new JAR added.
 * CuramSDEJlibjackson-core-2.15.0.jar - new JAR added.
 * CuramSDEJlibjackson-databind-2.15.0.jar- new JAR added.

 * CuramSDEJlibjackson-annotations-2.14.0.jar - old JAR removed.
 * CuramSDEJlibjackson-core-2.14.0.jar - old JAR removed.
 * CuramSDEJlibjackson-databind-2.14.0.jar- old JAR removed.

 * CuramCDEJlibextjarjackson-annotations-2.15.0.jar - new JAR added.
 * CuramCDEJlibextjarjackson-core-2.15.0.jar - new JAR added.
 * CuramCDEJlibextjarjackson-databind-2.15.0.jar - new JAR added.

 * CuramCDEJlibextjarjackson-annotations-2.14.0.jar - old JAR removed.
 * CuramCDEJlibextjarjackson-core-2.14.0.jar - old JAR removed.
 * CuramCDEJlibextjarjackson-databind-2.14.0.jar - old JAR removed.

 * EJBServercomponentsRestrestlibdependencyLibsExtjackson-annotations-2.15.0.jar - new JAR added.
 * EJBServercomponentsRestrestlibdependencyLibsExtjackson-core-2.15.0.jar - new JAR added.
 * EJBServercomponentsRestrestlibdependencyLibsExtjackson-databind-2.15.0.jar - new JAR added.
 * EJBServercomponentsRestrestlibdependencyLibsExtjackson-annotations-2.14.0.jar - old JAR removed.
 * EJBServercomponentsRestrestlibdependencyLibsExtjackson-core-2.14.0.jar - old JAR removed.
 * EJBServercomponentsRestrestlibdependencyLibsExtjackson-databind-2.14.0.jar - old JAR removed.

 * EJBServercomponentsRestrestlibdependencyLibsCorejackson-jaxrs-base-2.15.0.jar - new JAR added.
 * EJBServercomponentsRestrestlibdependencyLibsCorejackson-jaxrs-json-provider-2.15.0.jar - new JAR added.
 * EJBServercomponentsRestrestlibdependencyLibsCorejackson-module-jaxb-annotations-2.15.0.jar - new JAR added.
 * EJBServercomponentsRestrestlibdependencyLibsCorejackson-jaxrs-base-2.14.0.jar - old JAR removed.
 * EJBServercomponentsRestrestlibdependencyLibsCorejackson-jaxrs-json-provider-2.14.0.jar - old JAR removed.
 * EJBServercomponentsRestrestlibdependencyLibsCorejackson-module-jaxb-annotations-2.14.0.jar - old JAR removed.

GraphQL JARs:
 * EJBServercomponentsRestgraphql_libjackson-datatype-jdk8-2.15.0 - new JAR added.
 * EJBServercomponentsRestgraphql_libjackson-dataformat-yaml-2.15.0 - new JAR added.
 * EJBServercomponentsRestgraphql_libjackson-datatype-jdk8-2.14.0 - old JAR removed
 * EJBServercomponentsRestgraphql_libjackson-dataformat-yaml-2.14.0 - old JAR removed

Note that any references in custom scripts and other artifacts to the updated JAR files listed above must be updated.
"
SPM-127234,DT036620,Page parameters are not passed correctly when a modal opens another modal,CEF,Application Development Environment,Client Development Environment,,"**Issue Description:**

When a modal  passes more than one page parameter to a second modal, only the first page parameter is named correctly when received by the called modal.

**User Interface Impact:** No

**Prerequisite:**
A modal page that passes two parameters to a receiving modal page. Create a custom modal page that passes two parameters, the second parameter being 'caseID'.

**Steps to Reproduce:**
 # Navigate to the customised prerequisite page.
 # Open a modal, trigger the action to pass two parameters to a second modal. The second parameter being 'caseID'.
 # Issue: The first parameter is correctly passed but subsequent page parameters are incorrectly named in this case '&amp;caseID' instead of '&caseID'.

**Resolution:**
When a modal  passes multiple page parameters to a second modal, all parameters are named correctly when received by the called modal.
"
SPM-127122,,Duplicate titles appearing in dynamic evidence wizard,CEF,Application Development Environment,Client Development Environment,Widgets,"**Issue Description:**
Duplicate steps being are displayed in the dynamic evidence wizard.

**User Interface Impact:** No

**Steps to Reproduce:**
# Log in as an insurance affordability caseworker. 
# Register a person and submit an insurance affordability application.
# On the insurance affordability application case, add a child dynamic evidence for example application filer consent.
# Issue: The steps being displayed in the dynamic evidence wizard are duplicated.

**Resolution:**
No duplicate steps are displayed on the wizard progress bar.
"
SPM-127121,,Distribute the offline File Edit Native Messaging Bridge extension for Chrome,CEF,Business Services,,,"Previously when using the Microsoft Word Integration feature with Google Chrome or Microsoft Edge, the SPM File Edit Native Messaging Bridge extension needed to be installed from the Chrome Web Store.

While this is still the recommended source for the extension, an offline copy of the packed extension is now available in the following location:

CuramCDEJ/lib/curam/installers/chrome-bridge.crx

This offline extension can be used by organisations that prefer to manage the extension rollout manually."
